Serial Number,Year,Title,Baseline Primary Class,Baseline Secondary Class,Baseline Tertiary Class,Baseline Top1_score,Baseline Top2_score,Baseline margin_12,BART Primary Class,BART Primary Desc,BART Secondary Class,BART Secondary Desc,BART Tertiary Class,BART Tertiary Desc,BART Reasoning,BART Top1_score,BART Top2_score,BART margin_12,Primary agrees
293,1997,Particle containment and fluid retention with barrier seal in magnetic disc drive,24,49,47,0.03638756647706032,0.03549790009856224,0.0008896663784980774,50,Review - Survey,45,Flow,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.077), 45 Application - Flow (0.065), 16 Material - Handling of (0.057)",0.07745619863271713,0.06452527642250061,0.012930922210216522,False
881,2021,Acoustic valve for hearing device,12,50,11,0.038200292736291885,0.03726734593510628,0.0009329468011856079,50,Review - Survey,45,Flow,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.095), 45 Application - Flow (0.057), 16 Material - Handling of (0.057)",0.09537356346845627,0.05744079127907753,0.03793277218937874,False
875,2020,Systems and methods for generating damped electromagnetically actuated planar motion for audio-frequency vibrations,12,50,11,0.038200292736291885,0.03726734593510628,0.0009329468011856079,38,Using principles of magnetic induction,37,Other than evaluation indicated in class 14 above,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.090), 37 Experimentation - Other than evaluation indicated in class 14 above (0.077), 14 Material - Evaluation / Characterization (0.070)",0.08990702778100967,0.07704979926347733,0.012857228517532349,False
858,2020,SYSTEMS AND METHODS FOR GENERATING DAMPED ELECTROMAGNETICALLY ACTUATED PLANAR MOTION FOR AUDIO-FREQUENCY VIBRATIONS,24,37,49,0.038857992738485336,0.03791724517941475,0.0009407475590705872,38,Using principles of magnetic induction,37,Other than evaluation indicated in class 14 above,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.090), 37 Experimentation - Other than evaluation indicated in class 14 above (0.077), 14 Material - Evaluation / Characterization (0.070)",0.08990702778100967,0.07704979926347733,0.012857228517532349,False
353,1999,Magnetically assisted binding assays utilizing a magnetically responsive reagent,21,51,47,0.057695575058460236,0.0567501038312912,0.0009454712271690369,50,Review - Survey,14,Evaluation / Characterization,28,Stability and other,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.082), 14 Material - Evaluation / Characterization (0.053), 28 Computation - Stability and other (0.050)",0.08157449215650558,0.05280078947544098,0.028773702681064606,False
952,2013,Surgical Retraction Device and Procedure,21,51,47,0.057695575058460236,0.0567501038312912,0.0009454712271690369,50,Review - Survey,45,Flow,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.084), 45 Application - Flow (0.062), 14 Material - Evaluation / Characterization (0.061)",0.08370035886764526,0.061884328722953796,0.021816030144691467,False
437,2002,Method and device for indicating the state of EM or AM security tags,38,11,37,0.058135900646448135,0.05710725113749504,0.0010286495089530945,38,Using principles of magnetic induction,50,Review - Survey,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.075), 50 Review - Survey (0.074), 14 Material - Evaluation / Characterization (0.068)",0.07486637681722641,0.07376798242330551,0.0010983943939208984,True
462,1989,Compact magnetic fluid low pressure seal,44,16,39,0.03981287404894829,0.038782812654972076,0.0010300613939762115,50,Review - Survey,47,"Bearing, Seal, Lubricant",16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.096), 47 Application - Bearing, Seal, Lubricant (0.062), 16 Material - Handling of (0.057)",0.09633135795593262,0.06244474649429321,0.033886611461639404,False
268,2009,Fault-tolerant permanent magnet machine with reconfigurable stator core slot flux paths,49,29,24,0.0382661446928978,0.03722938895225525,0.0010367557406425476,50,Review - Survey,46,Heat transfer,28,Stability and other,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.086), 46 Application - Heat transfer (0.064), 28 Computation - Stability and other (0.063)",0.08592300117015839,0.06411705911159515,0.021805942058563232,False
270,2008,Fault-tolerant permanent magnet machine with reconfigurable stator core slot flux paths,49,29,24,0.0382661446928978,0.03722938895225525,0.0010367557406425476,50,Review - Survey,46,Heat transfer,28,Stability and other,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.086), 46 Application - Heat transfer (0.064), 28 Computation - Stability and other (0.063)",0.08592300117015839,0.06411705911159515,0.021805942058563232,False
906,2013,Effective algorithm for warming a twist axis for cold ion implantations,28,24,11,0.04815360903739929,0.047112464904785156,0.0010411441326141357,46,Heat transfer,26,Heat,50,Review - Survey,"Abstract-only zero-shot classification. Top-3 labels by score: 46 Application - Heat transfer (0.089), 26 Computation - Heat (0.065), 50 Review - Survey (0.063)",0.08946873247623444,0.0645652636885643,0.024903468787670135,False
473,2003,THIN FILM DELAMINATION DETECTION,49,12,11,0.06308560073375702,0.06204088404774666,0.0010447166860103607,50,Review - Survey,14,Evaluation / Characterization,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.088), 14 Material - Evaluation / Characterization (0.067), 16 Material - Handling of (0.065)",0.08829054236412048,0.06742918491363525,0.02086135745048523,False
470,2000,Proactive shock absorption and vibration isolation,49,12,11,0.06308560073375702,0.06204088404774666,0.0010447166860103607,50,Review - Survey,16,Handling of,28,Stability and other,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.099), 16 Material - Handling of (0.061), 28 Computation - Stability and other (0.058)",0.0989874005317688,0.06054002791643143,0.03844737261533737,False
474,2009,ELECTRIC MOTOR CONTAINING FERROMAGNETIC PARTICLES,49,12,11,0.06308560073375702,0.06204088404774666,0.0010447166860103607,16,Handling of,15,"Manipulation, Droplets, other",50,Review - Survey,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.065), 15 Material - Manipulation, Droplets, other (0.060), 50 Review - Survey (0.059)",0.06460656970739365,0.0597723014652729,0.004834268242120743,False
459,2002,Magnetically actuated fluid handling devices for microfluidic applications,44,16,39,0.03978020325303078,0.03871027007699013,0.0010699331760406494,16,Handling of,50,Review - Survey,45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.092), 50 Review - Survey (0.091), 45 Application - Flow (0.059)",0.09221095591783524,0.09059207141399384,0.0016188845038414001,False
539,2004,Novel compositions magnetic particles covered with gem-bisphosphonate derivatives,49,24,22,0.0357484295964241,0.034676264971494675,0.001072164624929428,50,Review - Survey,38,Using principles of magnetic induction,12,Formulation,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.069), 38 Application - Using principles of magnetic induction (0.057), 12 Material - Formulation (0.054)",0.0687684416770935,0.056809380650520325,0.011959061026573181,False
617,2020,Cryogenic ferrofluid sealed rotary union,24,26,22,0.04498270899057388,0.043891068547964096,0.001091640442609787,50,Review - Survey,46,Heat transfer,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.097), 46 Application - Heat transfer (0.060), 16 Material - Handling of (0.057)",0.097026526927948,0.06044115498661995,0.03658537194132805,False
136,2006,Method for magnetic/ferrofluid separation of particle fractions,24,49,21,0.038320187479257584,0.037220779806375504,0.00109940767288208,16,Handling of,50,Review - Survey,38,Using principles of magnetic induction,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.066), 50 Review - Survey (0.066), 38 Application - Using principles of magnetic induction (0.058)",0.06624069064855576,0.06607970595359802,0.00016098469495773315,False
139,2005,Method for magnetic/ferrofluid separation of particle fractions,24,49,21,0.038320187479257584,0.037220779806375504,0.00109940767288208,16,Handling of,50,Review - Survey,38,Using principles of magnetic induction,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.066), 50 Review - Survey (0.066), 38 Application - Using principles of magnetic induction (0.058)",0.06624069064855576,0.06607970595359802,0.00016098469495773315,False
323,1992,Magnetic sealing device for use between first and second magnetic members which rotate relative to each other,29,24,28,0.07781477272510529,0.07665122300386429,0.0011635497212409973,50,Review - Survey,47,"Bearing, Seal, Lubricant",28,Stability and other,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.071), 47 Application - Bearing, Seal, Lubricant (0.059), 28 Computation - Stability and other (0.059)",0.07145984470844269,0.05932203680276871,0.01213780790567398,False
897,2018,PERMANENT MAGNET INDUCTION GENERATOR (PMIG),24,46,22,0.040418513119220734,0.039249785244464874,0.0011687278747558594,38,Using principles of magnetic induction,50,Review - Survey,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.183), 50 Review - Survey (0.061), 16 Material - Handling of (0.054)",0.18271107971668243,0.06105189770460129,0.12165918201208115,False
931,2019,HAPTIC MESSAGE DELIVERY,24,46,22,0.040418513119220734,0.039249785244464874,0.0011687278747558594,50,Review - Survey,16,Handling of,37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.078), 16 Material - Handling of (0.073), 37 Experimentation - Other than evaluation indicated in class 14 above (0.069)",0.07822928577661514,0.0726531371474266,0.005576148629188538,False
1063,2011,SAND PRODUCTION CONTROL THROUGH THE USE OF MAGNETIC FORCES,24,46,22,0.040418513119220734,0.039249785244464874,0.0011687278747558594,50,Review - Survey,16,Handling of,38,Using principles of magnetic induction,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.094), 16 Material - Handling of (0.060), 38 Application - Using principles of magnetic induction (0.057)",0.09413723647594452,0.06047960743308067,0.033657629042863846,False
1070,2014,Magnetic wrench systems,24,46,22,0.040418513119220734,0.039249785244464874,0.0011687278747558594,50,Review - Survey,28,Stability and other,45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.086), 28 Computation - Stability and other (0.061), 45 Application - Flow (0.058)",0.08589721471071243,0.06119835376739502,0.024698860943317413,False
967,2016,NON-INVASIVE TREATMENT OF BRONCHIAL CONSTRICTION,27,37,24,0.052376627922058105,0.05115553364157677,0.0012210942804813385,50,Review - Survey,16,Handling of,37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.079), 16 Material - Handling of (0.075), 37 Experimentation - Other than evaluation indicated in class 14 above (0.056)",0.07945230603218079,0.07458554208278656,0.004866763949394226,False
955,2024,PLANAR DRIVE SYSTEM AND METHOD FOR OPERATING A PLANAR DRIVE SYSTEM,27,37,24,0.052376627922058105,0.05115553364157677,0.0012210942804813385,50,Review - Survey,16,Handling of,37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.102), 16 Material - Handling of (0.070), 37 Experimentation - Other than evaluation indicated in class 14 above (0.054)",0.10214261710643768,0.06994421780109406,0.03219839930534363,False
443,2004,Method and device for indicating the state of EM or AM security tags,24,22,29,0.04555342718958855,0.044272683560848236,0.0012807436287403107,38,Using principles of magnetic induction,50,Review - Survey,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.075), 50 Review - Survey (0.074), 14 Material - Evaluation / Characterization (0.068)",0.07486637681722641,0.07376798242330551,0.0010983943939208984,False
448,1982,Plural fluid magnetic/centrifugal seal,24,22,29,0.04555342718958855,0.044272683560848236,0.0012807436287403107,50,Review - Survey,16,Handling of,45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.088), 16 Material - Handling of (0.064), 45 Application - Flow (0.048)",0.08813048154115677,0.06403732299804688,0.024093158543109894,False
447,1998,Display sheet with a plurality of hourglass shaped capsules containing marking means responsive to external fields,24,22,29,0.04555342718958855,0.044272683560848236,0.0012807436287403107,50,Review - Survey,16,Handling of,45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.085), 16 Material - Handling of (0.058), 45 Application - Flow (0.054)",0.08466828614473343,0.05757848918437958,0.02708979696035385,False
64,1984,"Process for producing a ferrofluid, and a composition thereof",24,13,11,0.26372817158699036,0.2624383270740509,0.0012898445129394531,50,Review - Survey,38,Using principles of magnetic induction,28,Stability and other,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.074), 38 Application - Using principles of magnetic induction (0.066), 28 Computation - Stability and other (0.051)",0.07394970953464508,0.06592261046171188,0.008027099072933197,False
57,1988,"Process for producing a ferrofluid, and a composition thereof",24,13,11,0.26372817158699036,0.2624383270740509,0.0012898445129394531,50,Review - Survey,38,Using principles of magnetic induction,28,Stability and other,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.074), 38 Application - Using principles of magnetic induction (0.066), 28 Computation - Stability and other (0.051)",0.07394970953464508,0.06592261046171188,0.008027099072933197,False
1275,2013,THERMAL CYCLER WITH VAPOR CHAMBER FOR RAPID TEMPERATURE CHANGES,24,49,29,0.03796811401844025,0.03665535897016525,0.001312755048274994,50,Review - Survey,37,Other than evaluation indicated in class 14 above,46,Heat transfer,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.085), 37 Experimentation - Other than evaluation indicated in class 14 above (0.057), 46 Application - Heat transfer (0.056)",0.08518654853105545,0.056523893028497696,0.028662655502557755,False
1268,2015,Method and apparatus of differential pumping in an X-ray tube,24,49,29,0.03796811401844025,0.03665535897016525,0.001312755048274994,50,Review - Survey,14,Evaluation / Characterization,45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.065), 14 Material - Evaluation / Characterization (0.061), 45 Application - Flow (0.058)",0.06503352522850037,0.06101572513580322,0.0040178000926971436,False
506,2003,Navigation device,24,49,43,0.03880816325545311,0.03747978433966637,0.0013283789157867432,50,Review - Survey,16,Handling of,38,Using principles of magnetic induction,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.085), 16 Material - Handling of (0.071), 38 Application - Using principles of magnetic induction (0.065)",0.08544669300317764,0.07071969658136368,0.014726996421813965,False
469,2004,Magnetic bearing for suspending a rotating shaft using high tc superconducting material,24,49,43,0.03880816325545311,0.03747978433966637,0.0013283789157867432,50,Review - Survey,12,Formulation,13,Properties,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.095), 12 Material - Formulation (0.067), 13 Material - Properties (0.059)",0.09510917961597443,0.06681707501411438,0.028292104601860046,False
475,1978,Magnetic deflector for a magnetic ink jet printer,16,11,12,0.05683239549398422,0.05548710376024246,0.0013452917337417603,50,Review - Survey,45,Flow,15,"Manipulation, Droplets, other","Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.074), 45 Application - Flow (0.061), 15 Material - Manipulation, Droplets, other (0.060)",0.07372532039880753,0.060836657881736755,0.01288866251707077,False
579,2020,System and method for droplet formation and manipulation using ferrofluids,25,22,14,0.04057881608605385,0.03923149034380913,0.0013473257422447205,38,Using principles of magnetic induction,15,"Manipulation, Droplets, other",50,Review - Survey,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.074), 15 Material - Manipulation, Droplets, other (0.070), 50 Review - Survey (0.066)",0.07443144172430038,0.0697593241930008,0.004672117531299591,False
575,2018,SYSTEM AND METHOD FOR DROPLET FORMATION AND MANIPULATION USING FERROFLUIDS,25,22,14,0.04057881608605385,0.03923149034380913,0.0013473257422447205,38,Using principles of magnetic induction,15,"Manipulation, Droplets, other",50,Review - Survey,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.074), 15 Material - Manipulation, Droplets, other (0.070), 50 Review - Survey (0.066)",0.07443144172430038,0.0697593241930008,0.004672117531299591,False
529,1992,Low molecular weight carbohydrates as additives to stabilize metal oxide compositions,47,40,42,0.03848949074745178,0.03713704273104668,0.0013524480164051056,14,Evaluation / Characterization,50,Review - Survey,46,Heat transfer,"Abstract-only zero-shot classification. Top-3 labels by score: 14 Material - Evaluation / Characterization (0.085), 50 Review - Survey (0.080), 46 Application - Heat transfer (0.070)",0.08499832451343536,0.07987382262945175,0.005124501883983612,False
130,1996,Ferrofluid pressure sensor and warning device,49,24,14,0.03976370394229889,0.03839872404932976,0.0013649798929691315,50,Review - Survey,16,Handling of,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.097), 16 Material - Handling of (0.067), 14 Material - Evaluation / Characterization (0.062)",0.09739220142364502,0.06729519367218018,0.030097007751464844,False
1248,2018,Apparatuses and methods for performing thermodynamic cycles,24,14,11,0.05184611678123474,0.05046599730849266,0.0013801194727420807,38,Using principles of magnetic induction,46,Heat transfer,50,Review - Survey,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.136), 46 Application - Heat transfer (0.098), 50 Review - Survey (0.059)",0.1357562094926834,0.0975959375500679,0.03816027194261551,False
543,2008,Angle sensor,49,24,40,0.039308737963438034,0.037919580936431885,0.0013891570270061493,50,Review - Survey,28,Stability and other,38,Using principles of magnetic induction,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.067), 28 Computation - Stability and other (0.062), 38 Application - Using principles of magnetic induction (0.059)",0.06673033535480499,0.061657439917325974,0.005072895437479019,False
729,2013,Dynamic filtration system and associated methods,16,37,50,0.03727925568819046,0.03588233143091202,0.0013969242572784424,50,Review - Survey,37,Other than evaluation indicated in class 14 above,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.086), 37 Experimentation - Other than evaluation indicated in class 14 above (0.059), 16 Material - Handling of (0.053)",0.08554179221391678,0.05856693536043167,0.026974856853485107,False
726,2012,INSTRUMENTS COATED WITH IRON OXIDE NANOPARTICLES FOR INVASIVE MEDICINE,16,37,50,0.03727925568819046,0.03588233143091202,0.0013969242572784424,38,Using principles of magnetic induction,16,Handling of,50,Review - Survey,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.066), 16 Material - Handling of (0.058), 50 Review - Survey (0.051)",0.06609597057104111,0.0584174245595932,0.0076785460114479065,False
790,2012,SYNCHRONOUS BRUSHLESS MULTIPOLAR MACHINE HAVING IMMOBILE ARMATURE AND FIELD WINDINGS,16,37,50,0.03727925568819046,0.03588233143091202,0.0013969242572784424,50,Review - Survey,38,Using principles of magnetic induction,28,Stability and other,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.085), 38 Application - Using principles of magnetic induction (0.057), 28 Computation - Stability and other (0.050)",0.08500800281763077,0.05688217282295227,0.028125829994678497,False
733,2010,Flexible suspension for image stabilization,16,37,50,0.03727925568819046,0.03588233143091202,0.0013969242572784424,50,Review - Survey,46,Heat transfer,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.073), 46 Application - Heat transfer (0.068), 16 Material - Handling of (0.060)",0.07273904979228973,0.06836498528718948,0.00437406450510025,False
1316,2025,SURFACE STRUCTURE FOR FLUID MANIPULATION,51,37,27,0.04874985292553902,0.047342684119939804,0.0014071688055992126,50,Review - Survey,14,Evaluation / Characterization,37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.087), 14 Material - Evaluation / Characterization (0.064), 37 Experimentation - Other than evaluation indicated in class 14 above (0.054)",0.08680376410484314,0.06417865306138992,0.022625111043453217,False
1115,2019,"ENDOSCOPIC GUIDE, IN PARTICULAR FOR COLONOSCOPY, AND SYSTEM FOR ENDOSCOPY COMPRISING SUCH A GUIDE",29,47,49,0.040048468858003616,0.03863637149333954,0.0014120973646640778,38,Using principles of magnetic induction,16,Handling of,42,Biomedical,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.090), 16 Material - Handling of (0.068), 42 Application - Biomedical (0.067)",0.09006531536579132,0.06810000538825989,0.021965309977531433,False
1124,2022,Rotation damping helmet,29,47,49,0.040048468858003616,0.03863637149333954,0.0014120973646640778,50,Review - Survey,45,Flow,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.094), 45 Application - Flow (0.070), 16 Material - Handling of (0.059)",0.0936240702867508,0.07046884298324585,0.023155227303504944,False
1041,2024,Acoustic receivers with multiple diaphragms,51,11,14,0.04045898839831352,0.03903869166970253,0.0014202967286109924,50,Review - Survey,16,Handling of,13,Properties,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.095), 16 Material - Handling of (0.080), 13 Material - Properties (0.072)",0.09531237185001373,0.07996319234371185,0.01534917950630188,False
482,2005,"Thermosensitive polymer carriers having a modifiable physical structure for biochemical analysis, diagnosis and therapy",40,24,47,0.038346320390701294,0.036913707852363586,0.0014326125383377075,38,Using principles of magnetic induction,41,Medical (Pharmaceutical),50,Review - Survey,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.120), 41 Application - Medical (Pharmaceutical) (0.052), 50 Review - Survey (0.050)",0.11984222382307053,0.051668718457221985,0.06817350536584854,False
487,1990,Particle separation method,40,24,47,0.038346320390701294,0.036913707852363586,0.0014326125383377075,16,Handling of,50,Review - Survey,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 16 Material - Handling of (0.064), 50 Review - Survey (0.064), 14 Material - Evaluation / Characterization (0.057)",0.06428218632936478,0.06356142461299896,0.0007207617163658142,False
611,2015,Three-Dimensional Molding Using Magnetically Activated Static and Dynamic Ferrofluid Configurations,24,26,22,0.04524073004722595,0.04375580698251724,0.0014849230647087097,38,Using principles of magnetic induction,50,Review - Survey,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.084), 50 Review - Survey (0.078), 16 Material - Handling of (0.061)",0.08379358798265457,0.07829557359218597,0.005498014390468597,False
775,2023,System and method for race geometry and pressure seal for use in space suits,24,26,22,0.04524073004722595,0.04375580698251724,0.0014849230647087097,50,Review - Survey,14,Evaluation / Characterization,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.109), 14 Material - Evaluation / Characterization (0.085), 16 Material - Handling of (0.059)",0.1085471659898758,0.08518817275762558,0.023358993232250214,False
1160,2018,Pro unit to continuously recharge the battery of an electric conveyance,49,40,29,0.05724698305130005,0.05575262010097504,0.0014943629503250122,38,Using principles of magnetic induction,50,Review - Survey,37,Other than evaluation indicated in class 14 above,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.110), 50 Review - Survey (0.078), 37 Experimentation - Other than evaluation indicated in class 14 above (0.065)",0.10967906564474106,0.0780593603849411,0.03161970525979996,False
363,1994,Disk spindle motor,24,37,22,0.06439641118049622,0.06288810819387436,0.0015083029866218567,50,Review - Survey,45,Flow,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.077), 45 Application - Flow (0.067), 16 Material - Handling of (0.053)",0.07734248042106628,0.06745529174804688,0.00988718867301941,False
27,1977,MATERIALS HANDLING APPARATUS FOR A FERROFLUID SINK/FLOAT SEPARATOR,11,24,28,0.15880723297595978,0.15725861489772797,0.0015486180782318115,50,Review - Survey,37,Other than evaluation indicated in class 14 above,45,Flow,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.072), 37 Experimentation - Other than evaluation indicated in class 14 above (0.063), 45 Application - Flow (0.057)",0.07211796939373016,0.0626978650689125,0.009420104324817657,False
774,2010,Multiple magnet transducer with differential magnetic strengths,51,21,23,0.045181356370449066,0.043632470071315765,0.0015488862991333008,50,Review - Survey,38,Using principles of magnetic induction,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.087), 38 Application - Using principles of magnetic induction (0.057), 16 Material - Handling of (0.053)",0.08725672215223312,0.05651109665632248,0.030745625495910645,False
984,2012,HARNESSING POWER THROUGH ELECTROMAGNETIC INDUCTION UTILIZING PRINTED COILS,28,49,24,0.05602769926190376,0.05446244031190872,0.001565258949995041,38,Using principles of magnetic induction,50,Review - Survey,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.115), 50 Review - Survey (0.067), 16 Material - Handling of (0.058)",0.11491935700178146,0.06657744944095612,0.04834190756082535,False
1007,2022,FLAT SPEAKER DRIVEN BY A SINGLE PERMANENT MAGNET AND ONE OR MORE VOICE COILS,28,49,24,0.05602769926190376,0.05446244031190872,0.001565258949995041,50,Review - Survey,16,Handling of,14,Evaluation / Characterization,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.081), 16 Material - Handling of (0.072), 14 Material - Evaluation / Characterization (0.069)",0.08057350665330887,0.07229411602020264,0.008279390633106232,False
153,1989,Inspection method using magnetic particles in a liquid carrier in combination with electrical detection means,29,24,26,0.054769277572631836,0.053196463733911514,0.0015728138387203217,50,Review - Survey,14,Evaluation / Characterization,38,Using principles of magnetic induction,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.085), 14 Material - Evaluation / Characterization (0.057), 38 Application - Using principles of magnetic induction (0.056)",0.08485366404056549,0.05722026526927948,0.02763339877128601,False
508,2004,Domaines in a metal oxide matrix,29,47,49,0.04300444573163986,0.04142199456691742,0.0015824511647224426,50,Review - Survey,16,Handling of,13,Properties,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.080), 16 Material - Handling of (0.063), 13 Material - Properties (0.061)",0.08047999441623688,0.06287946552038193,0.01760052889585495,False
234,2003,Multiple magnet transducer,21,47,16,0.04036358743906021,0.03877328336238861,0.0015903040766716003,38,Using principles of magnetic induction,50,Review - Survey,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.082), 50 Review - Survey (0.076), 16 Material - Handling of (0.058)",0.08235348761081696,0.07613041996955872,0.00622306764125824,False
239,2004,Multiple magnet transducer,21,47,16,0.04036358743906021,0.03877328336238861,0.0015903040766716003,38,Using principles of magnetic induction,50,Review - Survey,16,Handling of,"Abstract-only zero-shot classification. Top-3 labels by score: 38 Application - Using principles of magnetic induction (0.082), 50 Review - Survey (0.076), 16 Material - Handling of (0.058)",0.08235348761081696,0.07613041996955872,0.00622306764125824,False
773,2011,INTRAVASCULAR PRESSURE SENSING,49,24,28,0.04636688902974129,0.04477335140109062,0.0015935376286506653,50,Review - Survey,16,Handling of,13,Properties,"Abstract-only zero-shot classification. Top-3 labels by score: 50 Review - Survey (0.088), 16 Material - Handling of (0.075), 13 Material - Properties (0.075)",0.08786962926387787,0.07523667067289352,0.012632958590984344,False
